                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  6.208,                 39.127,                 3.9838,                      0,                      0,                      0,                      0,                 6.4987,                 17.082,                 4.1808,             0.00040541,             0.00040541,             0.00040541
                      2,                 4.6142,                 14.522,                 3.1709,                      0,                      0,                      0,                      0,                 6.3597,                 40.599,                 9.7882,             0.00081393,             0.00081393,             0.00081393
                      3,                 3.3529,                 6.6773,                 2.1312,                0.50638,                0.00647,                0.00343,                0.00109,                 3.3753,                 6.0986,                  2.381,              0.0012142,              0.0012142,              0.0012142
                      4,                 2.9184,                 4.6144,                 1.7091,                0.29567,                0.09494,                0.03359,                0.01232,                 2.7103,                 4.1123,                 1.6677,              0.0012129,              0.0012129,              0.0012129
                      5,                 2.5182,                 3.6931,                 1.4216,                0.57222,                0.16578,                0.07785,                0.03559,                 2.3057,                 3.7407,                 1.4029,              0.0012005,              0.0012005,              0.0012005
                      6,                 2.3721,                  3.331,                 1.3168,                0.37823,                0.15139,                0.15128,                0.07658,                 2.0609,                 2.6382,                 1.2621,              0.0011881,              0.0011881,              0.0011881
                      7,                 2.2191,                 2.8515,                 1.2516,                0.37012,                0.21082,                0.19527,                0.10476,                 1.9466,                 2.2932,                 1.2084,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.9896,                 2.5166,                 1.1731,                0.37763,                0.30711,                0.35679,                0.23127,                 1.6959,                 1.9806,                 1.1183,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.9659,                  2.384,                 1.1357,                0.91315,                 0.2258,                0.41929,                0.22458,                 1.8498,                 1.9253,                 1.1414,               0.001151,               0.001151,               0.001151
                     10,                 1.8416,                 2.1802,                 1.1167,                0.51929,                0.43749,                0.49472,                0.30054,                 1.5992,                   1.58,                 1.0747,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.7862,                 2.0194,                 1.0937,                0.66497,                0.48184,                0.55918,                0.33537,                  1.616,                 1.5004,                 1.0675,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.7068,                 1.8033,                 1.0564,                0.81329,                0.50319,                0.59547,                0.35502,                 1.5616,                 1.3724,                 1.0491,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.6566,                 1.6708,                 1.0635,                0.76502,                0.57394,                0.64351,                0.42628,                 1.3853,                  1.173,                 1.0222,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.5197,                 1.5201,                 1.0151,                0.83868,                0.56441,                0.67708,                0.43042,                  1.393,                 1.2177,                 1.0196,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.4303,                 1.3966,                0.99073,                0.71482,                0.61806,                0.70766,                 0.4899,                  1.198,                 1.1237,                0.99322,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.3798,                 1.3263,                0.98518,                0.84938,                0.63415,                0.72936,                0.48593,                 1.2487,                 1.0448,                0.97107,              0.0010644,              0.0010644,              0.0010644
                     17,                  1.358,                 1.2782,                0.98513,                0.91104,                 0.6318,                0.72953,                0.48853,                 1.2452,                 1.0688,                0.98327,               0.001052,               0.001052,               0.001052
                     18,                 1.3243,                 1.1443,                0.98033,                0.90438,                0.64826,                 0.7603,                0.53996,                 1.0808,                0.85486,                0.93954,              0.0010396,              0.0010396,              0.0010396
                     19,                 1.3257,                 1.1551,                0.96776,                0.90223,                 0.6679,                0.77457,                0.55724,                 1.0663,                0.85099,                 0.9325,              0.0010273,              0.0010273,              0.0010273
                     20,                 1.1728,                 1.0164,                 0.9399,                0.91935,                0.69112,                0.79992,                0.57382,                 1.0237,                0.77578,                0.93747,              0.0010149,              0.0010149,              0.0010149
                     21,                 1.2021,                 1.0466,                0.92785,                0.88995,                0.72893,                0.82041,                0.57452,                 1.0161,                0.79583,                0.91731,              0.0010025,              0.0010025,              0.0010025
                     22,                 1.1798,                 1.0118,                0.94411,                0.93005,                0.76357,                0.82018,                0.56325,                 1.0347,                0.71405,                0.91272,             0.00099013,             0.00099013,             0.00099013
                     23,                 1.1361,                0.92581,                0.91594,                0.93895,                0.73574,                0.83828,                0.59462,                 1.0475,                0.71801,                0.91962,             0.00097775,             0.00097775,             0.00097775
